Part ID,Value,Package,Stock Code,Layer,Rotation,X,Y
U1,D1-MINI,D1-MINI,,TOP,0,839.764,-1271.26
RL2,G5CLE-1-DC24,RLY-OMRON-C4,,TOP,-180,3035.43,-925.197
L1,1uF,ELEC-RAD10,,TOP,270,3448.82,-2072.05
U3,LM2596 3.3V,TO170P470X1016X22985P,,TOP,180,2952.76,-2011.81
C1,1uF,ELEC-RAD10,,TOP,180,2754.72,-1531.5
C2,1uF,ELEC-RAD10,,TOP,90,1870.08,-2215.35
C3,1nF,CAP10,,TOP,270,1346.18,-2215.35
D1,1N5408,DO27,,TOP,180,2440.35,-2263.78
D2,1N4007,DO41,,TOP,180,3410.24,-1472.44
C4,1nF,CAP10,,TOP,-90,3279.53,-1774.41
RL1,G5CLE-1-DC24,RLY-OMRON-C4,,TOP,-90,2125.98,-1196.85
D3,1N4007,DO41,,TOP,180,2174.02,-673.228
CAN,CONN-SIL7,CONN-SIL7,,TOP,90,192.913,-1311.81
